months_since_peak,Feb. 2020,Dec. 2007,Mar. 2001,Jul. 1990,Jul. 1981,Jan. 1980,Nov. 1973,Dec. 1969
61,NA,-2.260968842129603,NA,NA,NA,NA,NA,NA
62,NA,-2.060090178623042,NA,NA,NA,NA,NA,NA
63,NA,-1.9596508468697613,NA,NA,NA,NA,NA,NA
64,NA,-1.8216370888490665,NA,NA,NA,NA,NA,NA
65,NA,-1.6612231920920286,NA,NA,NA,NA,NA,NA
66,NA,-1.5304352852766057,NA,NA,NA,NA,NA,NA
67,NA,-1.4495057517775594,NA,NA,NA,NA,NA,NA
68,NA,-1.2746401526099773,NA,NA,NA,NA,NA,NA
69,NA,-1.1395167350713913,NA,NA,NA,NA,NA,NA
70,NA,-0.9769350829527719,NA,NA,NA,NA,NA,NA
71,NA,-0.7861726111335916,NA,NA,NA,NA,NA,NA
72,NA,-0.7363142378172148,NA,NA,NA,NA,NA,NA
73,NA,-0.6098618417249552,NA,NA,NA,NA,NA,NA
74,NA,-0.48991271171744033,NA,NA,NA,NA,NA,NA
75,NA,-0.30637609110353203,NA,NA,NA,NA,NA,NA
76,NA,-0.07153592693219261,NA,NA,NA,NA,NA,NA
77,NA,0.08598762934273657,NA,NA,NA,NA,NA,NA
